Designator,Footprint,Quantity,Value,LCSC Part #
A1,Electrosmith_Daisy_Seed,1,Electrosmith_Daisy_Seed_Rev4,
"C1, C10, C2",1210,3,10uF,C138687
"C3, C4, C6, C7, C8, C9, C_BYP_U3, C_BYP_U4N1, C_BYP_U4P1, C_BYP_U5, C_BYP_U6, C_ENC_A1, C_ENC_B1, C_ENC_SW1, C_FLT1, C_FLT2, C_FLT3, C_FLT4, C_TL1, C_TL2",0603,20,100nF,C14663
C5,CP_Radial_D5.0mm_P2.50mm,1,10uF,TAP106J016SCS
"C_FB_A1, C_FB_B1, C_VOCT_ADC1",0603,3,1nF,C1588
"C_FILT1, C_FILT2",0603,2,2.2nF,C1604
"D1, D2, D8",D_SMA,3,SS14,C2480
D3,D_SOD-323,1,1N4148,C2128
"D4, D5, D_OCT1, D_OCT2",D_SOD-323,4,BAT54WS,C22629
"D6, D7",D_SOD-323,2,1N5819WS,C191023
"FB1, FB2",0603,2,BLM18PG121,C14709
J1,PinHeader_2x05_P2.54mm_Vertical,1,Eurorack_Power,
"J_CLK1, J_CVA1, J_CVB1, J_GATE_IN1",Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles,4,AudioJack2_SwitchT,
J_CV_OUT1,Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles,1,CV_OUT,
J_DISP1,PinHeader_1x04_P2.54mm_Vertical,1,TM1637,
J_DISP_SUPP,PinHeader_1x04_P2.54mm_Vertical,1,PinHeader_1x04_P2.54mm_Vertical,
J_GATE_OUT1,Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles,1,GATE_OUT,
J_OUT1,Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles,1,OUT1,
J_OUT2,Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles,1,OUT2,
Q1,SOT-23,1,MMBT3904,C20526
"R1, R_CLK_IN1, R_CLK_PU1, R_CV_GND1, R_DIO1, R_DIV1, R_DIV2, R_F1, R_F2, R_VOCT1",0603,10,10k,C25804
"R2, R5, R8, R9, R_FB_A1, R_FB_B1, R_GATE_IN1, R_HYS1, R_PD1, R_PD2, R_PD3, R_PD4",0603,12,100k,C25803
"R3, R6",0603,2,470k,C23178
"R4, R7",0603,2,200k,C25811
"RVA1, RVB1, RVLEVEL1, RVRATE1",Potentiometer_Alpha_RD901F-40-00D_Single_Vertical,4,10k,
R_CV_FB1,0603,1,20k,C4184
"R_CV_OUT1, R_FLT1, R_FLT2, R_FLT3, R_FLT4, R_GOUT1, R_OUT1, R_OUT2, R_VOCT_ADC1",0603,9,1k,C21190
"R_FILT1, R_FILT2",0603,2,470,C23179
"R_G1, R_G2",0603,2,2.7k,C13167
R_GATE_DIV1,0603,1,33k,C4216
R_VOCT2,0603,1,18k,C25810
SW_ENC1,RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm,1,Encoder,
SW_MODE1,SW_2MS1T1B1M2QES,1,SW_SPDT,
U1,SOT-23,1,LM4040-5.0,C156302
U2,TO-263-2,1,L7805,C15077
U3,TSSOP-14_4.4x5mm_P0.65mm,1,MCP6004,C50282
"U4, U7",SOIC-8_3.9x4.9mm_P1.27mm,2,TL072,C67473
U5,SOT-23-5,1,74AHCT1G125,C7484
U6,SOIC-8_3.9x4.9mm_P1.27mm,1,LM393,C136033
