Designator,Mid X,Mid Y,Rotation,Layer
A1,84.78,-99.63,180.0,bottom
C1,105.3,-72.3,0.0,top
C10,84.4,-122.4,0.0,bottom
C2,105.325,-75.8,0.0,top
C3,87.65,-65.15,0.0,bottom
C4,84.35,-57.35,90.0,bottom
C5,97.65,-74.2,0.0,top
C6,84.3,-62.55,90.0,bottom
C7,95.75,-118.65,0.0,top
C8,95.7,-121.2,0.0,top
C9,101.875,-125.45,180.0,top
C_BYP_U3,99.375,-120.7,270.0,bottom
C_BYP_U4N1,82.655,-101.775,90.0,bottom
C_BYP_U4P1,86.505,-91.175,90.0,bottom
C_BYP_U5,93.8,-154.0,180.0,bottom
C_BYP_U6,85.9,-129.725,0.0,bottom
C_ENC_A1,66.1,-95.7,270.0,top
C_ENC_B1,68.1,-95.7,270.0,top
C_ENC_SW1,68.75,-75.0,180.0,top
C_FB_A1,100.15,-126.8,180.0,bottom
C_FB_B1,99.425,-117.55,180.0,bottom
C_FILT1,72.85,-79.8,270.0,bottom
C_FILT2,72.0,-75.925,270.0,bottom
C_FLT1,65.0,-115.625,90.0,top
C_FLT2,83.2,-115.375,90.0,top
C_FLT3,101.1,-94.775,90.0,top
C_FLT4,99.5,-115.475,90.0,top
C_TL1,72.1,-116.35,90.0,bottom
C_TL2,68.25,-127.25,90.0,bottom
C_VOCT_ADC1,106.1,-126.25,180.0,bottom
D1,93.4,-63.35,0.0,bottom
D2,93.4,-58.15,180.0,bottom
D3,97.25,-138.225,270.0,bottom
D4,97.35,-137.5,90.0,top
D5,97.35,-134.1,90.0,top
D6,98.15,-153.7,270.0,top
D7,98.15,-157.1,270.0,top
D8,84.1,-118.0,0.0,bottom
D_OCT1,85.25,-135.8,90.0,top
D_OCT2,85.25,-132.45,90.0,top
FB1,87.65,-63.35,0.0,bottom
FB2,87.65,-58.15,0.0,bottom
J1,100.33,-58.34,180.0,bottom
J_CLK1,91.326971,-135.668887,0.0,top
J_CVA1,65.326971,-135.668887,0.0,top
J_CVB1,78.326971,-135.668887,0.0,top
J_CV_OUT1,91.326971,-152.168887,0.0,top
J_DISP1,63.326971,-58.293887,0.0,top
J_DISP_SUPP,106.326971,-58.603887,0.0,top
J_GATE_IN1,104.326971,-135.668887,0.0,top
J_GATE_OUT1,104.326971,-152.168887,0.0,top
J_OUT1,65.326971,-152.168887,0.0,top
J_OUT2,78.326971,-152.168887,0.0,top
Q1,98.25,-145.0625,90.0,bottom
R1,106.825,-123.0,270.0,top
R2,100.15,-128.3,0.0,bottom
R3,97.05,-128.3,180.0,bottom
R4,97.05,-125.2,180.0,bottom
R5,102.625,-117.0,0.0,bottom
R6,96.225,-119.05,180.0,bottom
R7,96.225,-117.55,180.0,bottom
R8,64.8,-122.8,180.0,bottom
R9,64.8,-121.15,180.0,bottom
RVA1,66.826971,-108.183887,90.0,top
RVB1,84.826971,-108.183887,90.0,top
RVLEVEL1,102.826971,-108.183887,90.0,top
RVRATE1,102.826971,-87.683887,90.0,top
R_CLK_IN1,97.15,-140.675,90.0,top
R_CLK_PU1,80.8,-115.175,90.0,top
R_CV_FB1,86.805,-101.8,270.0,bottom
R_CV_GND1,85.155,-101.775,270.0,bottom
R_CV_OUT1,85.45,-157.55,270.0,top
R_DIO1,82.3,-73.6,180.0,top
R_DIV1,82.65,-139.525,90.0,bottom
R_DIV2,84.2,-139.525,270.0,bottom
R_F1,69.1,-116.375,90.0,bottom
R_F2,71.25,-127.25,270.0,bottom
R_FB_A1,100.15,-125.3,180.0,bottom
R_FB_B1,99.425,-116.05,180.0,bottom
R_FILT1,74.55,-79.775,270.0,bottom
R_FILT2,74.55,-75.975,90.0,bottom
R_FLT1,66.85,-115.625,270.0,top
R_FLT2,84.8,-115.425,270.0,top
R_FLT3,102.8,-94.825,270.0,top
R_FLT4,101.6,-115.525,270.0,top
R_G1,69.75,-127.25,270.0,bottom
R_G2,67.6,-116.375,90.0,bottom
R_GATE_DIV1,97.25,-141.475,90.0,bottom
R_GATE_IN1,99.1,-141.475,270.0,bottom
R_GOUT1,98.2,-150.425,270.0,top
R_HYS1,85.75,-139.575,270.0,bottom
R_OUT1,72.75,-129.0,270.0,bottom
R_OUT2,70.6,-116.375,90.0,bottom
R_PD1,68.7,-115.625,90.0,top
R_PD2,86.4,-115.425,90.0,top
R_PD3,104.5,-94.825,90.0,top
R_PD4,104.6,-115.525,90.0,top
R_VOCT1,85.45,-138.975,270.0,top
R_VOCT2,85.5,-142.025,270.0,top
R_VOCT_ADC1,106.1,-124.75,180.0,bottom
SW_ENC1,67.026971,-84.543887,90.0,top
SW_MODE1,84.8,-84.295,90.0,top
U1,103.6625,-123.0,180.0,top
U2,72.675,-60.725,0.0,bottom
U3,104.7625,-120.7,90.0,bottom
U4,84.555,-96.475,0.0,bottom
U5,89.4375,-153.15,0.0,bottom
U6,84.8,-134.225,0.0,bottom
U7,69.755,-121.9,0.0,bottom
